	常用密集
恶棍工具                                               LCTRL + 1
暴风雨                                                 CTRL + U
时间加快                                               CTRL + I
游戏速度加快                                           CTRL + O
游戏速度变慢                                           CTRL + P
总是午夜                                               LSHIFT + F
维持在21：00橙色时间                                   LSHIFT + G
冻结游戏时间                                           RCTRL + 9

			关卡密集             
获得遥控飞机                                           LSHIFT + B
冻结关卡的时间                                         RCTRL + 8
停止关卡的表                                           TAB + B
冻结盗窃等时间                                         TAB + N
盗窃没有声音                                           ALT + T
完成10000 跳舞分数                                     TAB + J
完成10000 底盘车分数                                   TAB + K
Toggle Infinite Stingers in Mission "Puncture Wounds"  ALT + U
12 Level in Paramedic Mission                          ALT + O
12 Level in Vigilante Mission                          ALT + P
49 Passengers in Mission of Taxi Driver                ALT + G
10 Pimping Level                                       ALT + B
Toggle Zero Height in Mission "N.O.E"                  ALT + H

			Jet Pack
获得飞行背包                                           ALT + K
摄影视角模式飞行                                       ALT + L
加快飞行速度                                           ALT + ]
减慢飞行速度                                           ALT + [
向上飞                                                 ALT + ,
向下飞                                                 ALT + .

			瞬移操作     
Save Coordinates #1                                    ALT + 1
Save Coordinates #2                                    ALT + 2
Save Coordinates #3                                    ALT + 3
Save Coordinates #4                                    ALT + 4
Save Coordinates #5                                    ALT + 5
Save Coordinates #6                                    ALT + 6
Save Coordinates #7                                    ALT + 7
Save Coordinates #8                                    ALT + 8
Save Coordinates #9                                    ALT + 9
Save Coordinates #10                                   ALT + 0
To Move on Coordinates #1                              TAB + 1
To Move on Coordinates #2                              TAB + 2
To Move on Coordinates #3                              TAB + 3
To Move on Coordinates #4                              TAB + 4
To Move on Coordinates #5                              TAB + 5
To Move on Coordinates #6                              TAB + 6
To Move on Coordinates #7                              TAB + 7
To Move on Coordinates #8                              TAB + 8
To Move on Coordinates #9                              TAB + 9
To Move on Coordinates #10                             TAB + 0

			作弊  
清除作弊记录                                           LSHIFT + V
取消所有作弊状态                                       LSHIFT + M

			杂项 
保存游戏截图                                           F11
保存录像                                               F12
关闭 GTA: SA 进程                                      CTRL + ALT + F5
